ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,remoto,empresa,tamanho_empresa,residencia_iso3
2025,SENIOR,FULL TIME,SOLUTIONS ENGINEER,214000,USD,214000,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOLUTIONS ENGINEER,136000,USD,136000,US,REMOTO,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,158800,USD,158800,AU,PRESENCIAL,AU,MEDIA,AUS
2025,PLENO,FULL TIME,DATA ENGINEER,139200,USD,139200,AU,PRESENCIAL,AU,MEDIA,AUS
2025,JUNIOR,FULL TIME,DATA ENGINEER,90000,USD,90000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ENGINEER,80000,USD,80000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA SCIENTIST,185000,USD,185000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA SCIENTIST,148000,USD,148000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA SCIENTIST,135000,USD,135000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,DATA SCIENTIST,108000,USD,108000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,BI DEVELOPER,118000,USD,118000,US,REMOTO,US,MEDIA,USA
2025,PLENO,FULL TIME,BI DEVELOPER,51000,USD,51000,US,REMOTO,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,91900,USD,91900,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,54300,USD,54300,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,APPLIED SCIENTIST,255000,USD,255000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,APPLIED SCIENTIST,190000,USD,190000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SYSTEMS ENGINEER,196350,USD,196350,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SYSTEMS ENGINEER,130900,USD,130900,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,DIRECTOR,170000,USD,170000,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,DIRECTOR,160000,USD,160000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,119000,USD,119000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,ASSOCIATE,105000,USD,105000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,ASSOCIATE,120000,USD,120000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,110000,USD,110000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,120000,USD,120000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,110000,USD,110000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,120000,USD,120000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,110000,USD,110000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,190000,USD,190000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,150000,USD,150000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,CONSULTANT,180000,USD,180000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,CONSULTANT,130000,USD,130000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE ENGINEER,98348,USD,98348,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE ENGINEER,88651,USD,88651,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,ANALYST,122058,USD,122058,AU,PRESENCIAL,AU,MEDIA,AUS
2025,JUNIOR,FULL TIME,ANALYST,110266,USD,110266,AU,PRESENCIAL,AU,MEDIA,AUS
2025,SENIOR,FULL TIME,PRODUCT MANAGER,160000,USD,160000,US,PRESENCIAL,US,MEDIA,USA
